in11017	Alcoholic	Alcoholic		in11017	False	in11017_d99,in11017_d70,in11017_d10,in11017_90,in11017_10	0.5
in05704	Anonymous old man	Anonymous old man		in05704	False	in05704_75	0.5
in15004	Ashen		in15001	in15004	False	in15004_01	0.5
in05543	Bandit Cheng Yong	Remarks	in0107_01	in05543	False		0.5
in05557	Bandit Leader	Remarks	in05557	in05557	False		0.5
in05544	Bandits	Remarks	in0111_02	in05544	False		0.5
in27416	Basic organ (gold) (knife)		in27416_01	in27002	False	in27416_01	0.5
in27417	Basic organ (gold) (knife)		in27416_01	in27002	False	in27417_01	0.5
in27418	Basic organ (gold) (knife)		in27416_01	in27002	False	in27418_01	0.5
io271004	Battle Blade of the Zeroth Organizer	Remarks	io271004	in27005	False	io271004_99	0.5
io231316	Battle first level assassin short soldiers	Remarks	io231316	io231000	False		0.5
io27201501	Battle First Order Armed Forces Human Fire Long Soldier 01	Remarks	io27201501	in27029	False		0.5
io27201502	Battle First Order Armed Forces Human Fire Long Soldier 02	Remarks	io27201502	in27029	False		0.5
io27201503	Battle First Order Armed Forces Human Fire Long Soldier 03	Remarks	io27201503	in27029	False		0.5
io27241501	Battle First Order Armed Forces Personnel Long Soldier 01	Remarks	io27241501	in27028	False		0.5
io27241701	Battle First Order Armed Organizer Man Water Hidden Device 01	Remarks	io27241701	in27034	False		0.5
io231016	Battle first order assassin fire soldiers	Remarks	io231016	io231000	False		0.5
io231116	Battle first order assassin short soldiers	Remarks	io231116	io231000	False		0.5
io231416	Battle first order assassin water soldier	Remarks	io231416	io231000	False		0.5
io941119	Battle first order bear soil	Remarks	io941119	in94001	False		0.5
io441014	Battle First order Beiyanwei Fireblade	Remarks	io441014	in44001	False		0.5
io411113	Battle first order Bingqing sword school doorman earth sword	Remarks	io411113	in41001	False		0.5
io481113	Battle first order earth martial arts earth sword	Remarks	io481113	in48001	False		0.5
io041410	Battle first order female student hydromedicine	Remarks	io041410	in04031	False		0.5
io421012	Battle first order Kunlongmen gatemen ham	Remarks	io421012	in42008	False	io421012_e70	0.5
io251013	Battle First Order Martial Fire Sword	Remarks	io251013	io251000	False		0.5
io22211401	Battle First Order Nanchang Officer Earth Blade 01	Remarks	io222114	io222000	False		0.5
io22231401	Battle First Order Nanchang Soldier Gold Knife 01	Remarks	io222314	io222000	False		0.5
io22231402	Battle First Order Nanchang Soldier Gold Knife 02	Remarks	io222314	io222000	False		0.5
io22231403	Battle First Order Nanchang Soldier Gold Knife 03	Remarks	io222314	io222000	False		0.5
io242116	Battle first order rogue earth short soldiers	Remarks	io242116	io242003	False		0.5
io242314	Battle first order rogue gold sword	Remarks	io242314	io242002	False		0.5
io242416	Battle first order rogue water soldiers	Remarks	io242416	io242000	False		0.5
io242414	Battle first order rogue waterjet	Remarks	io242414	io242001	False		0.5
io242216	Battle first order rogue wood short soldiers	Remarks	io242216	io242002	False		0.5
io251113	Battle first order saber sword	Remarks	io251113	io251000	False		0.5
io251413	Battle first order warrior water sword	Remarks	io251413	io251000	False		0.5
io461316	Battle first order white fox crowd gold short soldiers	Remarks	io461316	in46002	False		0.5
io461416	Battle first order white fox crowd soldiers	Remarks	io461416	in46002	False		0.5
io471416	Battle for the first stage sorrow building	Remarks	io471416	in47001	False		0.5
io471116	Battle for the first tier sorrow building	Remarks	io471116	in47001	False		0.5
io471346	Battle for the fourth tier Melody Tower	Remarks	io471346	in47001	False		0.5
