S0101	侠隐阁校园	M01	01	-5.590, -2.270, 55.430	0.000, 90.291, 0.000	In_mood_11.wav	14
S0102	无瑕堂	M01	02	-784.630, 0.914, 56.270	0.000, 134.646, 0.000	In_develop_01.wav	12
S0103	谷月轩	M01	03	1268.986, 0.020, 17.845	0.000, 0.000, 0.000	In_develop_01.wav	12
S0104	藏荆阁	M01	04	0.000, 0.000, 0.000	0.000, 183.540, 0.000	In_develop_01.wav	12
S0105	百草芦	M01	05	108.990, 1.866, -804.240	0.000, 0.000, 0.000	In_develop_01.wav	12
S0106	未明楼	M01	06	883.433, 3.089, -745.526	0.000, 198.087, 0.000	In_develop_01.wav	12
S0107	练武场	M01	07	-1521.318, 2.950, -61.446	0.000, 184.572, 0.000	In_develop_01.wav	14
S0108	后山	M01	08	-1344.670, 6.946, 693.040	0.000, 270.063, 0.000	In_develop_01.wav	14
S0201	宿舍中庭	M02	01	575.210, 0.000, 727.325	0.000, 0.000, 1.000	In_mood_01.wav	14
S0202	玩家房间	M02	02	1499.948, -0.006, 758.879	0.000, 0.000, 0.000		12
S0203	澡堂	M02	03	-487.155, -0.181, 810.740	0.000, 268.615, 0.000	In_develop_02.wav	12
S0204	玩家房间(春校後演出用)	M02	02	1499.948, -0.006, 758.879	0.000, 0.000, 0.000		12
S0302	茶馆	M03	02	274.391, 200.000, 191.340	0.000, 0.000, 0.000	In_mood_01.wav	14
S0303	打铁舖	M03	03	274.391, 200.000, 191.340	0.000, 0.000, 0.000	In_mood_01.wav	14
S0304	酒铺	M03	04	187.872, 200.000, 127.389	0.000, 323.266, 0.000	In_mood_01.wav	14
S0305	戏台和庙	M03	05	191.373, 200.000, 106.904	0.000, 332.256, 0.000	In_mood_01.wav	14
S0306	花坊	M03	06	231.434, 200.025, 152.978	0.000, 143.008, 0.000	In_mood_01.wav	14
S0307	缘花台	M03	07	247.490, 193.493, 452.170	0.000, 0.000, 0.000	In_mood_03.wav	12
S0401	省城	M04	01	2550.850, 8.991, 861.783	0.000, 0.000, 0.000	In_scene_04.wav	13
S0402	省城府衙	M04	02	2550.767, 13.923, 955.076	0.000, 0.000, 0.000	In_mood_05.wav	12
S0403	府衙后花园	M04	03	2391.936, 4.999, -1025.603	0.000, 53.975, 0.000	In_mood_12.wav	14
S0404	府城迷宫	M04	04	2477.530, 0.000, -155.581	0.000, 0.000, 0.000	In_explore_01.wav	14
S0407	冰窖	M04	07	35.090, -0.055, 299.762	0.000, 269.443, 0.000		12
S0501	冰清剑派外部	M05	01	363.910, 23.695, 258.209	0.000, 268.091, 0.000	In_mood_08.wav	14
S0502	冰清剑派内部素心殿	M05	02	24.891, 0.390, 21.151	0.000, 0.000, 0.000	In_explore_02.wav	12
S0601	五老山山脚下野地/泛用野地/泛用洞窟	M06	01	597.790, 38.726, 181.760	0.000, 38.001, 0.000	In_mood_13.wav	14
S0602	五老山第一座	M06	02	470.143, 31.022, 132.281	0.000, 28.265, 0.000	In_explore_01.wav	14
S0603	五老山第二座_山道、小平台	M06	03	582.034, 81.910, 407.551	0.000, 288.608, 0.000	In_mood_13.wav	14
S0604	五老山第二座_途中石洞	M06	04	30.155, 132.998, 15.360	0.000, 355.012, 0.000	In_mood_13.wav	12
S0605	五老山第三座_山道、小平台	M06	05	275.984, 113.812, 94.197	0.000, 297.782, 0.000	In_mood_07.wav	14
S0608	五老山野地(黄昏\夜晚)	M06	08	488.652, 38.274, 358.064	0.000, 178.473, 0.000		14
S0701	京城都督府	M07	01	1032.870, 0.579, -499.800	0.000, 270.807, 0.000		12
S0702	京城街道	M07	02	1286.330, 6.488, -250.070	0.000, 85.060, 0.000		12
S0801	庐山山脚/鄱阳湖畔	M08	01	180.550, 37.676, 449.400	0.000, 3.083, 0.000	In_mood_13.wav	14
S0901	重岩村	M09	01	222.400, 31.441, 182.400	0.000, 83.218, 0.000	In_mood_07.wav	14
S0902	重岩村病坊	M09	02	5.920, 0.000, -7.543	0.000, 272.304, 0.000	In_mood_07.wav	14
S0903	重岩村新	M09	03	87.523, 30.001, 38.988	0.000, 0.000, 0.000		14
S0904	重岩村(毁坏版)	M09	04	87.521, 30.898, 8.777	0.000, 0.000, 0.000		14
S1002	神机殿	M10	02	18.120, 0.123, 7.530	0.000, 183.682, 0.000	In_mood_07.wav	14
S1003	连接密道矿山外	M10	03	1425.620, 41.406, 122.199	0.000, 35.825, 0.000	In_explore_02.wav	14
S1004	连接密道矿坑	M10	04	610.430, 141.510, 10.487	0.000, 282.272, 0.000	In_mood_10.wav	14
S1101	穴獾寨室外	M11	01	63.244, 0.968, 55.957	0.000, 353.864, 0.000	In_explore_01.wav	14
S1102	穴獾寨室内	M11	02	-308.360, 0.230, 21.730	0.000, 90.000, 0.000	In_explore_01.wav	14
S1301	野外官道	M13	01	269.520, 28.506, 356.850	0.000, 68.212, 0.000	In_mood_07.wav	14
S1401	机关厂房	M14	01	-6.152, 0.627, 1003.122	0.000, 146.487, 0.000	In_explore_01.wav	12
