mtest	Hong Ziyi	Hong Ziyi	Hong Ziyi	xi_000_fanyong	Sum	100	(1, 佛剑 : HP越低越强大)(2, 页书 : 最终dodge提升50%)(4, 还真 : 最终Parry提升50%)(6, 仙迹 : 最终critical hit提升50%)(8, 龙宿 : 最终counterattack提升50%)	(0, training effect: each time you upgrade， strength +01， physique +01， dexterity +01， spirit +01)(0, training effect: when you reach level 10， the upper limit of qi and blood +200， the upper limit of true energy +20)	(2, Dodge_Rate, Add, 50)(4, Parry, Add, 50)(6, Critical_Rate, Add, 50)(8, Counter_Rate, Add, 50)	(1, bf0004)	{ "LogicalNode" : [ { "MultiLogicaAction" : [ { "MantraLevel" : 0, 0} , { "CharacterUpgradablePropertyAbilityAction" : 1, 100, 1010} , { "CharacterUpgradablePropertyAbilityAction" : 1, 100, 1020} , { "CharacterUpgradablePropertyAbilityAction" : 1, 100, 1030} , { "CharacterUpgradablePropertyAbilityAction" : 1, 100, 1040} , { "MantraLevel" : 1, 10} , { "CharacterPropertyAbilityAction" : 1, 200, 4020} , { "CharacterPropertyAbilityAction" : 1, 20, 4040} ]} ], 0}
testcounter	Counterattack	Counterattack rate plus 50%	Test only	xi_000_fanyong	Str	0	(10, Counterattack+50％)		(10, Counter_Rate, Add, 50)		0
testcritical	Critical Strike	Critical Strike	For testing	xi_000_fanyong	Str	0	(10, Critical Hit+50％)		(10, Critical_Rate, Add, 50)		0
testparry	Grid file	Parry rate + 50%	Test only	xi_000_fanyong	Str	0	(10, Parry+50％)		(10, Parry_Rate, Add, 50)		0
xinfa001	Looking over Mt. Lu	This trick is trivial at first glance， but it is said to be taught by the Eastern Heroes. The depths are like the face of Lushan Mountain， which changes with the standpoint of the viewer.	Wanglu Jue	xi_000_fanyong	Sum	340	(1, Hidden Dragon：Unknown effect，Legend has it that if you practice this it will unlock your hidden potential。)	(0, every time you upgrade， your strength， physique， dexterity， and will are +3.)		(1, buff_allstatu01_015_00)	{ "LogicalNode" : [ { "MultiLogicaAction" : [ { "MantraLevel" : 0, 0} , { "CharacterUpgradablePropertyAbilityAction" : 1, 300, 1010} , { "CharacterUpgradablePropertyAbilityAction" : 1, 300, 1020} , { "CharacterUpgradablePropertyAbilityAction" : 1, 300, 1030} , { "CharacterUpgradablePropertyAbilityAction" : 1, 300, 1040} ]} ], 0}
xinfa001kangding	Tripod Lifting Mantra	The easy-to-understand method of Yunjin helps to control power.	The Secret Tips of the Tibetan Classical Pavilion	xi_000_fanyong	Sum	30	(1, Level 1-Sculptures of Yazi：Damage dealt increased by 3％.)(10, Level 10-Stands of Overlord：+3％ Parry Rate)	(0, every time you level up， you gain +1 power， and at level 10 you gain an additional +3.)	(1, Attack_Damage_Add, Add, 3)(10, Parry_Rate, Add, 3)		{ "LogicalNode" : [ { "MultiLogicaAction" : [ { "MantraLevel" : 0, 1} , { "CharacterUpgradablePropertyAbilityAction" : 1, 100, 1010} , { "MantraLevel" : 1, 10} , { "CharacterUpgradablePropertyAbilityAction" : 1, 300, 1010} ]} ], 0}
xinfa002tieyi	Iron Armor Mantra	The easy-to-understand method of forging body helps practitioners to bear more injuries.	The Secret Tips of the Tibetan Classical Pavilion	xi_000_fanyong	Sum	30	(1, Level 1-Cold Scale：Reduce damage taken by 3％)(10, Level 10-Sharpened Lance：+3％ Counterattack Rate)	(0, every time you level up， your physique increases by +1， and your physique increases by +3 at level 10.)	(1, Defend_Damage_Sub, Add, 3)(10, Counter_Rate, Add, 3)		{ "LogicalNode" : [ { "MultiLogicaAction" : [ { "MantraLevel" : 0, 1} , { "CharacterUpgradablePropertyAbilityAction" : 1, 100, 1020} , { "MantraLevel" : 1, 10} , { "CharacterUpgradablePropertyAbilityAction" : 1, 300, 1020} ]} ], 0}
xinfa003ruyan	Nimble Sparrow Mantra	The easy-to-understand light body method helps to boost evasion.	The Secret Tips of the Tibetan Classical Pavilion	xi_000_fanyong	Sum	30	(1, Level 1-Fly as a Sparrow：Accuracy increased by 3％.)(10, Level 10-Feathered Body：Dodge rate increased by 3%.)	(0, every time you upgrade， you get +1 dexterity， and at 10th order， you get an extra +3.)	(1, Hit_Rate, Add, 3)(10, Dodge_Rate, Add, 3)		{ "LogicalNode" : [ { "MultiLogicaAction" : [ { "MantraLevel" : 0, 1} , { "CharacterUpgradablePropertyAbilityAction" : 1, 100, 1030} , { "MantraLevel" : 1, 10} , { "CharacterUpgradablePropertyAbilityAction" : 1, 300, 1030} ]} ], 0}
xinfa004dingshen	Mantra of Intense Concentration	The easy-to-understand method of concentrating on the mind can improve concentration and moral efficiency.	The Secret Tips of the Tibetan Classical Pavilion	xi_000_fanyong	Sum	30	(1, Level 1-Clear Mind：Damage increases by 5％ when attacking an element you counter)(10, Level 10-Inner Sight：+3％ Critical Attack Rate)	(0, each time you level up， your will increases by +1， and at level 10 your will increases by +3.)	(1, Attack_Weak_Add, Add, 5)(10, Critical_Rate, Add, 3)		{ "LogicalNode" : [ { "MultiLogicaAction" : [ { "MantraLevel" : 0, 1} , { "CharacterUpgradablePropertyAbilityAction" : 1, 100, 1040} , { "MantraLevel" : 1, 10} , { "CharacterUpgradablePropertyAbilityAction" : 1, 300, 1040} ]} ], 0}
xinfa101wanglu	Looking over Mt. Lu	This trick is trivial at first glance， but it is said to be taught by the Eastern Heroes. The depths are like the face of Lushan Mountain， which changes with the standpoint of the viewer.	Wang Lu Jue， won in 17 rounds	xi_000_fanyong	Sum	250	(1, Level 1-View of the Peaks：Increase Critical Attack、Counterattack、Parry、and Dodge Rate by 1％ every turn，stackable up to a 10％)(10, Level 10-Ocean of the Clouds：Restore 5％ of maximum HP and MP per turn)	(0, every time you upgrade， your strength， physique， dexterity， and will are +1.)		(1, xinfa101wanglu_buff01)(10, xinfa101wanglu_buff02)	{ "LogicalNode" : [ { "MultiLogicaAction" : [ { "MantraLevel" : 0, 1} , { "CharacterUpgradablePropertyAbilityAction" : 1, 100, 1010} , { "CharacterUpgradablePropertyAbilityAction" : 1, 100, 1020} , { "CharacterUpgradablePropertyAbilityAction" : 1, 100, 1030} , { "CharacterUpgradablePropertyAbilityAction" : 1, 100, 1040} ]} ], 0}
xinfa102yangxin	Mantra of Cultivating the Heart	A Daoist's training inner style that can keep the practitioner's peace of mind.	Four Arts Conference Rewards， 21 Rounds	xi_000_fanyong	Sum	150	(1, Level 1-Morality Bindings：Restore 5％ of maximum HP per turn，25％ chance to restore 5％ extra)(10, Level 10-Nature Wisdoms：Restore 10％ of the maximum Qi per turn，25％ to restore 10％ extra)	(0, each time you upgrade， you will have +2.)		(1, xinfa102yangxin_buff01)(10, xinfa102yangxin_buff02)	{ "LogicalNode" : [ { "MultiLogicaAction" : [ { "MantraLevel" : 0, 1} , { "CharacterUpgradablePropertyAbilityAction" : 1, 200, 1040} ]} ], 0}
