attitude_brave_buff01	Daring	Damage +3% when attacking	Bravery Trait 1	buff_trait	Positive	0	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 7004, 1, 3.00000}  ]}  ]} 
attitude_cultivated_buff01	Scholar	Qi consumption -3% when attacking	Courtesy Trait 1	buff_trait	Positive	0	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 9002, 2, 3.00000}  ]}  ]}
attitude_resolute_buff01	Hardworking	Damage -5% when attacked	Resolve Trait 1	buff_trait	Positive	0	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 8005, 2, 3.00000}  ]}  ]} 
attitude_vibrant_buff01	Generous	Parry Rate and Counter Attack Rate +1%	Enthusiasm Trait 1	buff_trait	Positive	0	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 6005, 1, 1.00000} , { "BufferPropertyAction" : 6003, 1, 1.00000}  ]}  ]}
begin_trait03_buff01	Meticulous	Damage -5% when attacking，Accuracy and Dodge Rate +5%	 -5% damage while attacking，+ 5% hit and dodge rate	buff_trait	Positive	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 7005, 2, 5.00000} , { "BufferPropertyAction" : 6001, 1, 5.00000} , { "BufferPropertyAction" : 6002, 1, 5.00000}  ]}  ]}
begin_trait06_buff01	Dull-witted	Parry Rate +10%，Dodge Rate -5%	Parry rate + 10%，dodge rate  -5%	buff_trait	Positive	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferSequenceNode" : [ { "BufferPropertyAction" : 6003, 1, 10.00000} , { "BufferPropertyAction" : 6002, 2, 5.00000}  ]}  ]}  ]}
begin_trait10_buff01	Lone Wolf	All other party members take +10% extra damage when attacked	Create angle trait begin_trait10_tianshaguxing	buff_trait	Positive	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "AuraPromoteAction" : 0, 4, 10000, "begin_trait10_buff02", False}  ]} , { "BufferEventNode" : 260, [ { "AuraPromoteAction" : 0, 4, 10000, "begin_trait10_buff02", False}  ]} , { "BufferEventNode" : 270, [ { "AuraPromoteAction" : 0, 4, 10000, "begin_trait10_buff02", False}  ]}  ]} 
begin_trait10_buff02	Affected- Lone Wolf	Increase damage taken by 10%	Tiansha Lone Star II	debuff_parry	Negative	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 8004, 1, 10.00000}  ]}  ]} 
begin_trait10_buff03	Lone Wolf 1	When attacked reduce damage by 10%	Tiansha Lone Star 3		Positive	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 8005, 1, 10.00000}  ]}  ]}
begin_trait11_buff01	Make a Comeback	Damage +5% when attacking		buff_trait	None	0	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 7004, 1, 5.00000}  ]}  ]} 
begin_trait12_buff01	Gifted	Parry Rate，Counter Attack Rate，Dodge Rate，and Critical Hit Rate +10%		buff_trait	Positive	0	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 6004, 1, 10.00000} , { "BufferPropertyAction" : 6002, 1, 10.00000} , { "BufferPropertyAction" : 6003, 1, 10.00000} , { "BufferPropertyAction" : 6005, 1, 10.00000}  ]}  ]} 
bf0001	Inevitable Evasion	100% Dodge	100% Dodge		Positive	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferSequenceNode" : [ { "DebugBufferAction" : "加入必闪增益范例"} , { "BufferLiberatedStateAction" : 300003}  ]}  ]}  ]} 
bf0002	Blink Round 2	100% Dodge	100% Dodge		Positive	2	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferSequenceNode" : [ { "DebugBufferAction" : "加入必闪增益范例"} , { "BufferLiberatedStateAction" : 300003}  ]}  ]} , { "BufferEventNode" : 40, [ { "BufferPriorityNode" : [ { "BufferTimesAction" : 2, 1}  ]}  ]}  ]} 
bf0003	Attack Boost	The higher your Enthusiasm value, the higher your attack	The higher your Enthusiasm value, the higher your attack		Positive	10	0	{ "BufferRootNode" : [ { "BufferEventNode" : 30, [ { "BufferSequenceNode" : [ { "BufferPropertyCondition" : 0, 100, 2010} , { "BufferPropertyAction" : 4050, 0, 100.00000} , { "BufferPropertyCondition" : 0, 200, 2010} , { "BufferPropertyAction" : 4050, 0, 200.00000} , { "BufferPropertyCondition" : 0, 300, 2010} , { "BufferPropertyAction" : 4050, 0, 300.00000}  ]}  ]}  ]} 
