attitude_brave_buff01	Daring	Damage +3% when attacking	Boldness Trait 1	buff_trait	Positive	0	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 7004, 1, 3.00000}  ]}  ]} 
attitude_cultivated_buff01	Scholar	Qi consumption -3% when attacking	Cultivation Trait 1	buff_trait	Positive	0	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 9002, 2, 3.00000}  ]}  ]}
attitude_resolute_buff01	Hardworking	Damage -5% when attacked	Perseverance 1	buff_trait	Positive	0	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 8005, 2, 5.00000}  ]}  ]} 
attitude_vibrant_buff01	Generous	Parry Rate and Counter Attack Rate +1%	Hearty Trait 1	buff_trait	Positive	0	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 6005, 1, 1.00000} , { "BufferPropertyAction" : 6003, 1, 1.00000}  ]}  ]}
begin_trait03_buff01	Meticulous	Every step is a calculated move [Damage -5% when attacking，Accuracy and Evasion Rate +5%]	 5% damage while attacking，+ 5% hit and dodge rate	buff_trait	Positive	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 7005, 2, 5.00000} , { "BufferPropertyAction" : 6001, 1, 5.00000} , { "BufferPropertyAction" : 6002, 1, 5.00000}  ]}  ]}
begin_trait06_buff01	Dull-witted	Parry Rate +10%，Evasion Rate -5%	Parry rate + 10%，dodge rate  5%	buff_trait	Positive	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferSequenceNode" : [ { "BufferPropertyAction" : 6003, 1, 10.00000} , { "BufferPropertyAction" : 6002, 2, 5.00000}  ]}  ]}  ]}
begin_trait10_buff01	Lone Wolf	Damage +10% to all Party members except yourself when suffering an attack	Create angle trait begin_trait10_tianshaguxing	buff_trait	Positive	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "AuraPromoteAction" : 0, 4, 10000, "begin_trait10_buff02", False}  ]} , { "BufferEventNode" : 260, [ { "AuraPromoteAction" : 0, 4, 10000, "begin_trait10_buff02", False}  ]} , { "BufferEventNode" : 270, [ { "AuraPromoteAction" : 0, 4, 10000, "begin_trait10_buff02", False}  ]}  ]} 
begin_trait10_buff02	Affected- Lone Wolf	Damage taken increased by 10%	Tiansha Lone Star II	debuff_parry	Negative	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 8004, 1, 10.00000}  ]}  ]} 
begin_trait10_buff03	Lone Wolf 1	When attacked reduce damage by 10%	Tiansha Lone Star 3		Positive	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 8005, 1, 10.00000}  ]}  ]}
begin_trait11_buff01	Make a Comeback	Damage +5% when attacking		buff_trait	Positive	0	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 7004, 1, 5.00000}  ]}  ]} 
begin_trait12_buff01	Gifted	Parry Rate，Counter Attack Rate，Evasion Rate，and Critical Hit Rate +10%		buff_trait	Positive	0	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferPropertyAction" : 6004, 1, 10.00000} , { "BufferPropertyAction" : 6002, 1, 10.00000} , { "BufferPropertyAction" : 6003, 1, 10.00000} , { "BufferPropertyAction" : 6005, 1, 10.00000}  ]}  ]} 
bf0001	Inevitable Evasion	Garenteed to dodge (example)	Must Flash Example		Positive	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferSequenceNode" : [ { "DebugBufferAction" : "加入必闪增益范例"} , { "BufferLiberatedStateAction" : 300003}  ]}  ]}  ]} 
bf0002	Blink Round 2	Must Flash Example	Must Flash Example		Positive	2	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferSequenceNode" : [ { "DebugBufferAction" : "加入必闪增益范例"} , { "BufferLiberatedStateAction" : 300003}  ]}  ]} , { "BufferEventNode" : 40, [ { "BufferPriorityNode" : [ { "BufferTimesAction" : 2, 1}  ]}  ]}  ]} 
bf0003	Attack Boost	The higher the vibrant，the higher the attack	The higher the hearty，the higher the attack		Positive	10	0	{ "BufferRootNode" : [ { "BufferEventNode" : 30, [ { "BufferSequenceNode" : [ { "BufferPropertyCondition" : 0, 100, 2010} , { "BufferPropertyAction" : 4050, 0, 100.00000} , { "BufferPropertyCondition" : 0, 200, 2010} , { "BufferPropertyAction" : 4050, 0, 200.00000} , { "BufferPropertyCondition" : 0, 300, 2010} , { "BufferPropertyAction" : 4050, 0, 300.00000}  ]}  ]}  ]} 
bf0004	Last Stand	The less HP，the higher the attack，defense and critical hit rate	The less blood，the higher the attack，defense，and critical strike		Positive	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 150, [ { "BufferSequenceNode" : [ { "BufferSelfHPCondition" : 0, 89} , { "BufferPropertyAction" : 4050, 4, 0.00000} , { "BufferSelfHPCondition" : 2, 90} , { "BufferPropertyAction" : 4050, 4, 10.00000} , { "BufferSelfHPCondition" : 2, 80} , { "BufferPropertyAction" : 4050, 4, 20.00000} , { "BufferSelfHPCondition" : 2, 70} , { "BufferPropertyAction" : 4050, 4, 30.00000} , { "BufferSelfHPCondition" : 2, 60} , { "BufferPropertyAction" : 4050, 4, 40.00000} , { "BufferSelfHPCondition" : 2, 50} , { "BufferPropertyAction" : 4050, 4, 50.00000} , { "BufferSelfHPCondition" : 2, 40} , { "BufferPropertyAction" : 4050, 4, 60.00000} , { "BufferSelfHPCondition" : 2, 30} , { "BufferPropertyAction" : 4050, 4, 70.00000} , { "BufferSelfHPCondition" : 2, 20} , { "BufferPropertyAction" : 4050, 4, 80.00000} , { "BufferSelfHPCondition" : 2, 10} , { "BufferPropertyAction" : 4050, 4, 90.00000}  ]}  ]}  ]} 
bf0005	Galaxy Fall	When HP is below 90%，the critical hit and parry rate is 100%.	xinfatest2 test only	buff_critical	Positive	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 230, [ { "BufferSequenceNode" : [ { "BufferSelfHPCondition" : 2, 90} , { "BufferLiberatedStateAction" : 300004, 1} , { "BufferLiberatedStateAction" : 300005, 1}  ]}  ]} , { "BufferEventNode" : 150, [ { "BufferSequenceNode" : [ { "BufferSelfHPCondition" : 2, 90} , { "BufferLiberatedStateAction" : 300004, 1} , { "BufferLiberatedStateAction" : 300005, 1}  ]}  ]}  ]} 
bf0006	Last Stand	The less HP，the higher the attack，defense and critical hit rate	The less blood，the higher the attack，defense，and critical strike		Positive	1	0	{ "BufferRootNode" : [ { "BufferEventNode" : 150, [ { "BufferSequenceNode" : [ { "BufferSelfHPCondition" : 0, 89} , { "BufferPropertyAction" : 4050, 4, 20.00000}  ]}  ]} , { "BufferEventNode" : 30, [ { "BufferSequenceNode" : [ { "BufferSelfHPCondition" : 0, 89} , { "BufferPropertyAction" : 4050, 4, 20.00000}  ]}  ]}  ]} 
